id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,data_source,jornada,fecha_descarga
1214,Thomas Strakosha,23,2070,GK,Lazio,Serie-A,2021-2022,0.0,0.0,0.0,0.0010733435173397,0.0,0.0434782608695652,0.0869565217391304,0.0,0.0,0.0,0.1038171531551558,0.1038171531551558,historical,,
1226,Karol Linetty,16,907,F M S,Torino,Serie-A,2021-2022,0.0,0.0719348768176882,0.0992282249173098,0.1214267169931429,1.2899669239250275,1.587651598676957,0.1984564498346196,0.0,0.0,0.0719348768176882,0.2552654926050064,0.1399380922966453,historical,,
1244,Wojciech Szczesny,33,2970,GK,Juventus,Serie-A,2021-2022,0.0,0.0,0.0,0.0027151811218848,0.0,0.0909090909090909,0.0606060606060606,0.0,0.0,0.0,0.1264039275772643,0.123952212771683,historical,,
1264,Edoardo Goldaniga,12,941,D S,"Cagliari,Sassuolo",Serie-A,2021-2022,0.0,0.0712286309892357,0.0,0.0142591369044387,0.4782146652497343,0.3825717321997874,0.2869287991498406,0.0,0.0,0.0712286309892357,0.1381323633044483,0.108407630954298,historical,,
1281,Giuseppe Pezzella,21,1070,D M S,Atalanta,Serie-A,2021-2022,0.0,0.0419783809474695,0.1682242990654205,0.0735210179586276,0.7570093457943925,0.7570093457943925,0.2523364485981308,0.0,0.0,0.0419783809474695,0.3976694898175024,0.301779958375982,historical,,
1289,Alex Sandro,28,1777,D S,Juventus,Serie-A,2021-2022,0.0,0.0544040778376157,0.0506471581316826,0.0960716168298168,0.4558244231851435,1.1648846370287,0.1519414743950478,0.0,0.0,0.0544040778376157,0.3888582135301731,0.276752510451338,historical,,
1296,Stefano Sturaro,25,1802,F M S,Genoa,Serie-A,2021-2022,0.0,0.0190342507830569,0.0,0.0476041020769687,0.4495005549389567,0.3995560488346282,0.5493895671476138,0.0,0.0,0.0190342507830569,0.1960098703539662,0.1321293412295318,historical,,
1302,Emil Audero,29,2567,GK,Sampdoria,Serie-A,2021-2022,0.0,0.0,0.0,0.0106695546167436,0.0,0.0701207635372029,0.0701207635372029,0.0,0.0,0.0,0.0890204801112065,0.078350919225178,historical,,
1305,Lukasz Skorupski,36,3240,GK,Bologna,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1286257262238198,0.1286257262238198,historical,,
1311,Rade Krunic,28,1407,M S,AC Milan,Serie-A,2021-2022,0.0,0.0443328497633496,0.1279317697228145,0.1327908184450826,0.6396588486140725,1.0874200426439231,0.1279317697228145,0.0,0.0,0.0443328497633496,0.3041505300477624,0.2127989632552112,historical,,
1374,José Reina,15,1350,GK,Lazio,Serie-A,2021-2022,0.0,0.0,0.0666666666666666,0.0169712662696838,0.0,0.0666666666666666,0.2,0.0,0.0,0.0,0.1446359789619843,0.1276646863669157,historical,,
1377,Nikola Maksimovic,14,1115,D S,Genoa,Serie-A,2021-2022,0.0,0.0071100322070276,0.0,0.004385348893869,0.242152466367713,0.1614349775784753,0.1614349775784753,0.0,0.0,0.0071100322070276,0.1254935698257968,0.1254935698257968,historical,,
1392,Luigi Sepe,16,1398,GK,Salernitana,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.1287553648068669,0.0,0.0,0.0,0.0868450560858832,0.0868450560858832,historical,,
1395,Vlad Chiriches,29,2311,D S,Sassuolo,Serie-A,2021-2022,0.0,0.0198235151679136,0.0,0.0009029597601736,0.3504976200778883,0.0778883600173085,0.155776720034617,0.0,0.0,0.0198235151679136,0.2949946856529991,0.2930461293894818,historical,,
1460,Andrea Consigli,37,3325,GK,Sassuolo,Serie-A,2021-2022,0.0,0.0,0.0,0.0016804962117869,0.0,0.0270676691729323,0.0541353383458646,0.0,0.0,0.0,0.1917486068197435,0.1900681107087915,historical,,
1483,Etrit Berisha,10,900,GK,Torino,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.023745250236243,0.023745250236243,historical,,
1504,Alberto Grassi,30,2200,M S,Cagliari,Serie-A,2021-2022,0.0,0.0391360952391881,0.0818181818181818,0.0776859234806827,0.981818181818182,0.6136363636363636,0.1636363636363636,0.0409090909090909,0.0,0.0391360952391881,0.2421836216595362,0.1625190945765511,historical,,
1505,Samir Handanovic,37,3330,GK,Inter,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.0,0.0,0.2166845975695429,0.2166845975695429,historical,,
1510,Gary Medel,33,2837,D S,Bologna,Serie-A,2021-2022,0.0,0.0136065910641559,0.0317236517448008,0.0122604331288553,0.0634473034896016,0.0951709552344025,0.2537892139584067,0.0317236517448008,0.0,0.0136065910641559,0.2364904699163628,0.2350602096132474,historical,,
1541,Stefan de Vrij,30,2413,D S,Inter,Serie-A,2021-2022,0.0,0.0842117028286965,0.0,0.0,0.7832573559883962,0.0,0.1118939079983423,0.0,0.0,0.0842117028286965,0.4982715264469126,0.4915504336474448,historical,,
1576,Giorgio Chiellini,21,1345,D S,Juventus,Serie-A,2021-2022,0.0,0.0559584014533177,0.0,0.0274398494996545,0.2676579925650557,0.4684014869888475,0.1338289962825278,0.0,0.0,0.0559584014533177,0.2058201746177274,0.1831966839647647,historical,,
1599,Norbert Gyömbér,31,2577,D S,Salernitana,Serie-A,2021-2022,0.0,0.0237062199060762,0.0,0.0251787592579932,0.3143189755529685,0.2444703143189755,0.3143189755529685,0.0,0.0,0.0237062199060762,0.1028979981341968,0.0974510736195359,historical,,
1601,Riccardo Marchizza,19,1355,D S,Empoli,Serie-A,2021-2022,0.0,0.0220442873140542,0.066420664206642,0.1091707084066753,0.5313653136531366,0.7970479704797048,0.2656826568265683,0.0,0.0,0.0220442873140542,0.242466251101221,0.1955389039611574,historical,,
1639,Sebastiano Luperto,24,1963,D S,Empoli,Serie-A,2021-2022,0.0,0.0351747278820569,0.0916963830871115,0.0145004212171203,0.412633723892002,0.412633723892002,0.2750891492613347,0.0458481915435557,0.0,0.0351747278820569,0.1606160395893055,0.1539613667664877,historical,,
1792,Mário Rui,34,3016,D,Napoli,Serie-A,2021-2022,0.0,0.05098813304811,0.1790450928381962,0.1275211966544666,0.9549071618037136,1.223474801061008,0.2088859416445623,0.0,0.0,0.05098813304811,0.4334034403632901,0.3142878055802253,historical,,
1810,Roberto Soriano,35,2654,M S,Bologna,Serie-A,2021-2022,0.0,0.089095387240758,0.1356443104747551,0.1571144857468433,0.7799547852298417,1.6277317256970611,0.1695553880934438,0.0678221552373775,0.0,0.089095387240758,0.4460934989263823,0.2810722938370305,historical,,
1896,Riccardo Gagliolo,17,1128,D S,Salernitana,Serie-A,2021-2022,0.0,0.0282039254299424,0.0797872340425532,0.0373257396177963,0.6382978723404256,0.1595744680851064,0.1595744680851064,0.0,0.0,0.0282039254299424,0.219663153030969,0.1654764887520132,historical,,
1908,Vid Belec,23,1932,GK S,Salernitana,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.046583850931677,0.0,0.0,0.0,0.045342088072497,0.045342088072497,historical,,
3014,Stefan Strandberg,11,933,D,Salernitana,Serie-A,2021-2022,0.0,0.0372835280451552,0.0,0.0423867887910156,0.8681672025723474,0.1929260450160771,0.0,0.0964630225080385,0.0,0.0372835280451552,0.1583257422354252,0.1227993749896621,historical,,
3291,Adrien Rabiot,32,2303,M S,Juventus,Serie-A,2021-2022,0.0,0.0631276541480513,0.0781589231437255,0.0942166062994749,1.0160660008684326,0.8206686930091185,0.1953973078593139,0.0,0.0,0.0631276541480513,0.3105155487281573,0.2085467366662638,historical,,
3301,Salvatore Sirigu,37,3330,GK,Genoa,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530291753946929,0.0530291753946929,historical,,
3334,Lassana Coulibaly,31,2355,M S,Salernitana,Serie-A,2021-2022,0.0,0.0396821159916888,0.0,0.0083334456630952,0.840764331210191,0.3821656050955413,0.1146496815286624,0.0,0.0,0.0396821159916888,0.1660152432645202,0.1248511431003167,historical,,
3356,Adama Soumaoro,28,2261,D S,Bologna,Serie-A,2021-2022,0.0,0.0569104922260662,0.0,0.0,0.3184431667403803,0.0,0.2388323750552853,0.079610791685095,0.0,0.0569104922260662,0.2763825538619687,0.2605691843092349,historical,,
3544,Jeremie Boga,27,1429,F M S,"Atalanta,Sassuolo",Serie-A,2021-2022,0.0,0.1546184599798425,0.125962211336599,0.1558232035923246,2.2673198040587823,1.7004898530440868,0.0,0.0,0.0,0.1546184599798425,0.4528497872213286,0.2026279089207246,historical,,
3550,Koffi Djidji,25,1753,D S,Torino,Serie-A,2021-2022,0.0,0.0487554446447171,0.0,0.003364567559359,0.513405590416429,0.1540216771249287,0.2053622361665715,0.0513405590416428,0.0,0.0487554446447171,0.2112488797560325,0.2024699939670932,historical,,
3737,Mike Maignan,32,2880,GK,AC Milan,Serie-A,2021-2022,0.0,0.0,0.03125,0.0072629686910659,0.0,0.0625,0.03125,0.0,0.0,0.0,0.1287396469851955,0.1214766906341537,historical,,
3821,Rolando Mandragora,21,1316,M S,Torino,Serie-A,2021-2022,0.0,0.0675918537936538,0.1367781155015197,0.2112364294686805,1.5729483282674772,2.1200607902735564,0.3419452887537994,0.0683890577507598,0.0,0.0675918537936538,0.4357755091890557,0.3002245645647398,historical,,
