id,player_name,position,team_title,league,season,position_main,games,time,minutes_per_game,high_participation,goals_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,xGChain_90,xGBuildup_90,target_xG_90
6030,Zanka,D S,Brentford,Premier-League,2023-2024,D,14,1082,77.28571428571429,1,0.0831792975970425,0.0,0.0790211931559603,0.6654343807763401,0.499075785582255,0.33271719038817,0.0,0.3802134516234071,0.3081420070428036,0.0499101950444432
3621,Neal Maupay,F S,"Brentford,Everton",Premier-League,2023-2024,F,31,1381,44.54838709677419,0,0.391020999275887,0.1955104996379435,0.1552768284218907,2.737146994931209,1.0427226647356986,0.5213613323678493,0.0,0.7555467120704229,0.1973469073733801,0.4711922295229708
7187,Sergio Reguilón,D S,"Brentford,Manchester United",Premier-League,2023-2024,D,25,1539,61.56,1,0.0,0.2339181286549707,0.2127772154645961,0.9941520467836256,1.6374269005847952,0.4093567251461988,0.0584795321637426,0.3777691373351025,0.2110214836416188,0.0688556014227936
7699,Adam Webster,D S,Brighton,Premier-League,2023-2024,D,15,1146,76.4,1,0.0,0.0,0.016540616594684,0.6282722513089005,0.3926701570680628,0.0785340314136125,0.0,0.512592228256283,0.5030770145395663,0.0357596266098047
11711,Bart Verbruggen,GK,Brighton,Premier-League,2023-2024,GK,21,1890,90.0,1,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.1743869304302193,0.1743869304302193,0.0
7988,Billy Gilmour,M S,Brighton,Premier-League,2023-2024,M,30,2154,71.8,1,0.0,0.0417827298050139,0.0873400275478746,1.0445682451253482,0.9192200557103064,0.3342618384401114,0.0417827298050139,0.7415096398733535,0.6792637155829698,0.0304464164610256
10527,Carlos Baleba,M S,Brighton,Premier-League,2023-2024,M,27,1303,48.25925925925926,0,0.0,0.0,0.0308528592229655,1.4504988488104371,0.5525709900230238,0.4834996162701458,0.0,0.3608838862475759,0.3142128713394665,0.053372129966617
501,Danny Welbeck,F M S,Brighton,Premier-League,2023-2024,F,29,1723,59.41379310344828,0,0.261172373766686,0.0522344747533372,0.114297712480112,2.089378990133488,1.1491584445734184,0.2089378990133488,0.0,0.7076106764250761,0.3904304170069726,0.3260517702289293
5136,Estupiñán,D S,Brighton,Premier-League,2023-2024,D,19,1239,65.21052631578948,1,0.1452784503631961,0.2179176755447942,0.2387181347457029,0.7990314769975787,1.8886198547215496,0.2905569007263922,0.0,0.5906614613410347,0.4322103446588534,0.075115637907862
10177,Evan Ferguson,F S,Brighton,Premier-League,2023-2024,F,27,1364,50.51851851851852,0,0.3958944281524927,0.0,0.0429658517186854,2.177419354838709,0.3958944281524927,0.0659824046920821,0.0,0.4532205049341812,0.1639188752821004,0.2616896771872279
11362,Facundo Buonanotte,F M S,Brighton,Premier-League,2023-2024,F,27,1408,52.148148148148145,0,0.1917613636363636,0.0639204545454545,0.1472907286899333,1.3423295454545454,1.2144886363636365,0.4474431818181818,0.0,0.4443653343531134,0.2127482068714347,0.1901426869285801
7943,Igor Julio,D S,Brighton,Premier-League,2023-2024,D,24,1640,68.33333333333333,1,0.0,0.0,0.0342322533734415,0.274390243902439,0.3841463414634146,0.2195121951219512,0.0,0.5733885581309838,0.5633870643768005,0.0119492955414987
10807,Jan Paul van Hecke,D M S,Brighton,Premier-League,2023-2024,D,28,2365,84.46428571428571,1,0.0,0.0,0.0185790564352941,0.5708245243128964,0.3805496828752643,0.1522198731501057,0.0,0.4232675528063205,0.4122092622680783,0.0602748539637435
7235,Jason Steele,GK,Brighton,Premier-League,2023-2024,GK,17,1530,90.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2203040528385078,0.2203040528385078,0.0
8272,João Pedro,F M S,Brighton,Premier-League,2023-2024,F,31,2026,65.35483870967742,1,0.399802566633761,0.1332675222112537,0.2408759962943882,3.3316880552813424,1.6436327739387957,0.0888450148075024,0.0,0.7795447426933615,0.3371721642875174,0.5294675718503844
8780,Joël Veltman,D S,Brighton,Premier-League,2023-2024,D,27,1549,57.370370370370374,0,0.0581020012911555,0.0581020012911555,0.0303481396629184,0.3486120077469335,0.2324080051646223,0.2324080051646223,0.0,0.2141909964510112,0.1793922612767033,0.0432542138152772
10806,Kaoru Mitoma,D F M S,Brighton,Premier-League,2023-2024,D,19,1482,78.0,1,0.1821862348178137,0.242914979757085,0.2057259339039866,2.064777327935223,1.5182186234817814,0.242914979757085,0.0,0.8532585312239073,0.4950463425684795,0.2842130101010625
6048,Lewis Dunk,D,Brighton,Premier-League,2023-2024,D,33,2895,87.72727272727273,1,0.0932642487046632,0.0310880829015544,0.0363648880388915,1.0569948186528495,0.4041450777202072,0.2176165803108808,0.0310880829015544,0.4225869227220049,0.4206063098665037,0.0921733336127483
239,Pascal Groß,D M S,Brighton,Premier-League,2023-2024,D,36,3107,86.30555555555556,1,0.1158673962021242,0.2896684905053105,0.2447597672614276,1.593176697779208,2.9256517541036366,0.1738010943031863,0.0,0.6913135772901292,0.5198529079894583,0.1760787941278043
11710,Simon Adingra,D F M S,Brighton,Premier-League,2023-2024,D,31,2256,72.7741935483871,1,0.2393617021276595,0.0398936170212766,0.1317308603122117,2.074468085106383,1.3164893617021276,0.1196808510638297,0.0,0.5227752883443014,0.2516529046524157,0.2033258647350792
8226,Tariq Lamptey,D M S,Brighton,Premier-League,2023-2024,D,19,923,48.578947368421055,0,0.0,0.2925243770314193,0.1180759393574744,0.5850487540628386,0.9750812567713976,0.2925243770314193,0.0,0.2787904060150084,0.1567925352054291,0.0556461978703737
11699,Ameen Al Dakhil,D S,Burnley,Premier-League,2023-2024,D,13,1055,81.15384615384616,1,0.0853080568720379,0.0,0.0083896890459184,0.6824644549763034,0.1706161137440758,0.0853080568720379,0.0,0.241960108068317,0.1499195622889351,0.1042390216795189
7027,Arijanet Muric,GK,Burnley,Premier-League,2023-2024,GK,10,900,90.0,1,0.0,0.0,0.0372583022341132,0.0,0.4,0.0,0.0,0.2251372165977954,0.1878789134323596,0.0
6044,Charlie Taylor,D S,Burnley,Premier-League,2023-2024,D,28,2336,83.42857142857143,1,0.0385273972602739,0.0385273972602739,0.0725612028387107,0.3852739726027397,0.5779109589041096,0.3082191780821918,0.0,0.1894984395667425,0.1580370460279694,0.009260278793964
8756,Dara O&#039;Shea,D S,Burnley,Premier-League,2023-2024,D,33,2899,87.84848484848484,1,0.0931355639875819,0.1241807519834425,0.051050793001105,0.5898585719213522,0.4035874439461883,0.1552259399793032,0.0310451879958606,0.1507694937935129,0.1398020250952143,0.0281689072168512
5355,Jacob Bruun Larsen,F M S,Burnley,Premier-League,2023-2024,F,32,1272,39.75,0,0.4245283018867924,0.0,0.1029210151524616,3.113207547169812,1.768867924528302,0.070754716981132,0.0,0.5174804712373342,0.1782523541939708,0.3746053419638214
9077,James Trafford,GK,Burnley,Premier-League,2023-2024,GK,28,2520,90.0,1,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0850890984958303,0.0850890984958303,0.0
1663,Johann Berg Gudmundsson,F M S,Burnley,Premier-League,2023-2024,F,26,1175,45.19230769230769,0,0.076595744680851,0.2297872340425532,0.2407742000482184,1.1489361702127658,2.6042553191489364,0.1531914893617021,0.0,0.4822598382038005,0.2294530583347412,0.1568856995473516
8323,Josh Brownhill,M S,Burnley,Premier-League,2023-2024,M,33,2229,67.54545454545455,1,0.161507402422611,0.0807537012113055,0.0737720696834664,1.1305518169582771,1.372812920592194,0.161507402422611,0.0403768506056527,0.2622793641939137,0.1738744935655056,0.0739147742360349
1018,Josh Cullen,M S,Burnley,Premier-League,2023-2024,M,25,2072,82.88,1,0.0868725868725868,0.1303088803088803,0.0836736138669133,0.694980694980695,1.1293436293436292,0.3909266409266409,0.0,0.390104767812495,0.333457112691678,0.0231351083392658
8973,Lorenz Assignon,D,Burnley,Premier-League,2023-2024,D,15,1249,83.26666666666667,1,0.0720576461168935,0.144115292233787,0.1495331434534491,0.6485188150520417,0.9367493995196156,0.2161729383506805,0.0720576461168935,0.2846274605830661,0.2299810209579235,0.0294420634321063
6557,Louis Beyer,D,Burnley,Premier-League,2023-2024,D,15,1252,83.46666666666667,1,0.0,0.0718849840255591,0.0295519622001118,0.3594249201277955,0.2156549520766773,0.4313099041533546,0.0,0.1369977943872967,0.1090396933864576,0.0306879666250068
10620,Luca Koleosho,F M S,Burnley,Premier-League,2023-2024,F,15,1015,67.66666666666667,1,0.0886699507389162,0.0886699507389162,0.1291609955538669,2.039408866995074,0.9753694581280788,0.0,0.0,0.3309005504391464,0.0247348203631163,0.2061020431517086
7498,Lyle Foster,F M S,Burnley,Premier-League,2023-2024,F,24,1938,80.75,1,0.2321981424148606,0.1393188854489164,0.069614194979424,1.5789473684210529,0.8823529411764706,0.0,0.0464396284829721,0.4029209253554097,0.1212832188931504,0.2604402695139495
9487,Maxime Estève,D S,Burnley,Premier-League,2023-2024,D,16,1314,82.125,1,0.0,0.0,0.0008611984499921,0.4794520547945205,0.0684931506849315,0.410958904109589,0.0,0.1305278367681863,0.1277445274571033,0.0164782535284757
8285,Sander Berge,M S,Burnley,Premier-League,2023-2024,M,37,3020,81.62162162162163,1,0.0298013245033112,0.0596026490066225,0.0949155536128689,0.7450331125827815,0.8642384105960265,0.23841059602649,0.0298013245033112,0.3633533512791064,0.2560326493875623,0.0632416139116251
11700,Vitinho,D M S,Burnley,Premier-League,2023-2024,D,32,2324,72.625,1,0.0,0.0774526678141136,0.0400805390694799,0.96815834767642,0.4259896729776248,0.0387263339070568,0.0,0.2612248318920652,0.1848806589425072,0.0682944210130791
10822,Wilson Odobert,F M S,Burnley,Premier-League,2023-2024,F,29,2150,74.13793103448276,1,0.1255813953488372,0.0837209302325581,0.1853504127974427,2.051162790697674,1.2976744186046512,0.1255813953488372,0.0,0.4188050000906683,0.1759525002348561,0.1064869808682868
11701,Zeki Amdouni,F M S,Burnley,Premier-League,2023-2024,F,34,2025,59.55882352941177,0,0.2222222222222222,0.0444444444444444,0.0664335576196511,2.177777777777778,0.7111111111111111,0.0888888888888888,0.0,0.3505937736895349,0.1195178243849012,0.2711325832539134
6885,Axel Disasi,D S,Chelsea,Premier-League,2023-2024,D,31,2586,83.41935483870968,1,0.0696055684454756,0.0,0.0067879571611809,0.5568445475638051,0.1044083526682134,0.2088167053364269,0.0,0.5099770272682203,0.4909509394248718,0.0932327970827815
7240,Benoit Badiashile Mukinayi,D S,Chelsea,Premier-League,2023-2024,D,18,1338,74.33333333333333,1,0.0,0.0672645739910313,0.1045846444817736,0.4035874439461883,0.4035874439461883,0.1345291479820627,0.0,0.5690723961645178,0.5627835727392826,0.0347954708865672
9040,Conor Gallagher,M,Chelsea,Premier-League,2023-2024,M,37,3171,85.70270270270271,1,0.1419110690633869,0.1986754966887417,0.1644099662529768,1.3623462630085146,1.4758751182592242,0.1986754966887417,0.0283822138126773,0.7353502937901831,0.5310998233378834,0.1338949092190673
12032,Djordje Petrovic,GK S,Chelsea,Premier-League,2023-2024,GK,23,1982,86.17391304347827,1,0.0,0.0,0.0,0.0,0.0,0.0908173562058526,0.0,0.1504074848857525,0.1504074848857525,0.0
11356,Enzo Fernández,M S,Chelsea,Premier-League,2023-2024,M,28,2237,79.89285714285714,1,0.1206973625391149,0.0804649083594099,0.1431804970006725,1.8909253464461333,1.2874385337505587,0.2816271792579347,0.0,0.7379734465518485,0.5050559906196557,0.2473323549375864
10805,Levi Colwill,D S,Chelsea,Premier-League,2023-2024,D,23,1813,78.82608695652173,1,0.0496414782129067,0.0496414782129067,0.0614557650928594,0.5460562603419746,0.3474903474903475,0.0992829564258135,0.0,0.40241027092669,0.3552157788034538,0.0385230594307956
9017,Malo Gusto,D S,Chelsea,Premier-League,2023-2024,D,27,1754,64.96296296296296,1,0.0,0.3078677309007981,0.2825871696578872,0.7696693272519954,1.6419612314709235,0.3591790193842645,0.0513112884834663,0.7205081128641674,0.5431677388428724,0.0872526597125432
7134,Marc Cucurella,D S,Chelsea,Premier-League,2023-2024,D,21,1788,85.14285714285714,1,0.0,0.1006711409395973,0.063148798521033,0.4026845637583892,0.9563758389261746,0.5033557046979866,0.0,0.6091806007511664,0.5079699963981275,0.0731804020915355
9453,Moisés Caicedo,M S,Chelsea,Premier-League,2023-2024,M,35,2897,82.77142857142857,1,0.0310666206420434,0.0931998619261304,0.0776347414001148,0.4038660683465654,0.6834656541249569,0.3417328270624784,0.0,0.7781667111478141,0.7226768170808425,0.0092370122459594
11305,Mykhailo Mudryk,F M S,Chelsea,Premier-League,2023-2024,F,31,1563,50.41935483870968,0,0.2879078694817658,0.1151631477927063,0.2237264036903454,2.015355086372361,1.8426103646833007,0.2879078694817658,0.0,0.6328608071871259,0.2508965502502021,0.2943154046894721
10048,Nicolas Jackson,F M S,Chelsea,Premier-League,2023-2024,F,35,2818,80.51428571428572,1,0.4471256210078069,0.1596877217885024,0.1687483448995247,2.5550035486160394,1.1497515968772178,0.3193754435770049,0.0,0.8916085817824028,0.2322007612456786,0.634298599903479
11357,Noni Madueke,M S,Chelsea,Premier-League,2023-2024,M,23,1066,46.34782608695652,0,0.4221388367729831,0.1688555347091932,0.1824214276604312,2.701688555347092,1.6885553470919326,0.1688555347091932,0.0,0.6569213025782111,0.4002483072909081,0.2535874462611345
618,Raheem Sterling,F M S,Chelsea,Premier-League,2023-2024,F,31,1987,64.09677419354838,1,0.3623553095118269,0.1811776547559134,0.2251754237960407,2.3100150981378964,1.3588324106693508,0.3170608958228485,0.0,0.8737272713061518,0.4030340026630999,0.3883448150524495
