id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90
1932,Sanjin Prcic,32,2209,M S,Strasbourg,Ligue-1,2021-2022,0.040742417383431415,0.05964134948816355,0.0,0.05574418338089035,1.8741511996378453,0.8963331824354912,0.16296966953372566,0.0,0.040742417383431415,0.05964134948816355,0.41457600182874293,0.3476117550905148
3322,Alexander Djiku,31,2699,D S,Strasbourg,Ligue-1,2021-2022,0.033345683586513526,0.08495732661917745,0.0,0.01801524231249688,0.5001852537977028,0.30011115227862173,0.2667654686921082,0.033345683586513526,0.033345683586513526,0.08495732661917745,0.25075127001784164,0.23952321103515561
3346,Jonas Martin,29,2113,M S,Rennes,Ligue-1,2021-2022,0.04259346900141978,0.04681829458311504,0.04259346900141978,0.05670559319715562,0.8944628490298154,0.383341221012778,0.34074775201135826,0.0,0.04259346900141978,0.04681829458311504,0.5456666548335743,0.5187695731893287
3464,Vincent Le Goff,34,3060,D M,Lorient,Ligue-1,2021-2022,0.029411764705882353,0.03126674107111552,0.029411764705882353,0.06373208113398184,0.7647058823529411,0.7941176470588235,0.029411764705882353,0.0,0.029411764705882353,0.03126674107111552,0.25935098016634583,0.21138499373131817
3479,Marcus Coco,24,924,D F M S,Nantes,Ligue-1,2021-2022,0.09740259740259741,0.05586827984200669,0.09740259740259741,0.09444884593030074,1.168831168831169,0.6818181818181819,0.09740259740259741,0.09740259740259741,0.09740259740259741,0.05586827984200669,0.3000423424066854,0.15752727444005477
3507,Vincent Pajot,30,2334,M S,Metz,Ligue-1,2021-2022,0.038560411311053984,0.03312627664003473,0.0,0.011817698072460131,0.5398457583547558,0.5398457583547558,0.2313624678663239,0.038560411311053984,0.038560411311053984,0.03312627664003473,0.13811192039524833,0.12120077865327539
3552,Marco Verratti,24,1959,M S,Paris Saint Germain,Ligue-1,2021-2022,0.045941807044410414,0.028137780503465427,0.09188361408882083,0.12138734521717974,0.3215926493108729,1.4241960183767228,0.5513016845329249,0.0,0.045941807044410414,0.028137780503465427,0.7768693729909921,0.6999094942142504
3599,Presnel Kimpembe,30,2583,D S,Paris Saint Germain,Ligue-1,2021-2022,0.03484320557491289,0.0413525057794325,0.0,0.002319195051434146,0.24390243902439024,0.06968641114982578,0.20905923344947736,0.0,0.03484320557491289,0.0413525057794325,0.5981807075181281,0.5959796274035443
3626,Mexer,16,1230,D S,Bordeaux,Ligue-1,2021-2022,0.07317073170731707,0.016479702075807057,0.0,0.0,0.3658536585365854,0.0,0.14634146341463414,0.0,0.07317073170731707,0.016479702075807057,0.24004767451253606,0.24004767451253606
3652,Enock Kwateng,29,2005,D M S,Bordeaux,Ligue-1,2021-2022,0.04488778054862842,0.011402380882653213,0.0,0.06827365426797224,0.314214463840399,0.7182044887780548,0.1795511221945137,0.04488778054862842,0.04488778054862842,0.011402380882653213,0.23647826646182898,0.19436877152123058
3670,Nicolas Pallois,30,2451,D S,Nantes,Ligue-1,2021-2022,0.03671970624235006,0.015569118602769026,0.0,0.003542933964160256,0.2937576499388005,0.14687882496940025,0.22031823745410034,0.03671970624235006,0.03671970624235006,0.015569118602769026,0.19259873998774313,0.19051417687878175
3749,Jonathan Bamba,31,2462,M S,Lille,Ligue-1,2021-2022,0.036555645816409424,0.1279656926796421,0.07311129163281885,0.1411670246815943,1.8643379366368806,1.645004061738424,0.10966693744922827,0.0,0.036555645816409424,0.1279656926796421,0.33278116861026913,0.14059593691849956
4811,Jean Eudes Aholou,25,1008,M S,Strasbourg,Ligue-1,2021-2022,0.08928571428571427,0.11490732082165776,0.08928571428571427,0.06814568835709776,1.5178571428571428,0.5357142857142857,0.17857142857142855,0.0,0.08928571428571427,0.11490732082165776,0.3753716418785708,0.25470575617094127
4886,Cédric Hountondji,23,2037,D,Clermont Foot,Ligue-1,2021-2022,0.04418262150220913,0.022443459315749436,0.0,0.0010175832076785465,0.353460972017673,0.04418262150220913,0.08836524300441825,0.0,0.04418262150220913,0.022443459315749436,0.15751183954710815,0.15751183954710815
5598,Angel Gomes,24,954,F M S,Lille,Ligue-1,2021-2022,0.09433962264150944,0.09721047227393906,0.09433962264150944,0.13856725433384473,1.3207547169811322,1.4150943396226414,0.2830188679245283,0.0,0.09433962264150944,0.09721047227393906,0.42031430885336307,0.2540372538749339
5647,Arnaud Souquet,34,2355,D M S,Montpellier,Ligue-1,2021-2022,0.03821656050955414,0.017813125803212447,0.11464968152866241,0.04945243849970732,0.6496815286624203,0.6114649681528662,0.15286624203821655,0.0,0.03821656050955414,0.017813125803212447,0.19381758083061426,0.1460751551826289
5661,Jonathan Ikone,18,1091,F M S,Lille,Ligue-1,2021-2022,0.08249312557286893,0.21103435912187443,0.0,0.186400186709247,1.8148487626031164,1.319890009165903,0.08249312557286893,0.0,0.08249312557286893,0.21103435912187443,0.6294711495516608,0.3142738834153229
5737,Saif-Eddine Khaoui,23,912,F M S,Clermont Foot,Ligue-1,2021-2022,0.09868421052631579,0.22150139695057938,0.0,0.09442793799711292,1.9736842105263157,1.282894736842105,0.09868421052631579,0.0,0.09868421052631579,0.22150139695057938,0.25331990548262473,0.062173819659571895
