id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
8328,Azz-Eddine Ounahi,8,619,2,0.966729037463665,0,0.9674201682209969,17,7,3,0,M S,Girona,2,0.966729037463665,3.1909289211034775,2.2343753166496754,La-Liga,2025-2026,13,2025-11-26 18:51:38
8549,Ferrán Jutglà,10,605,2,2.0014010574668646,1,0.9124230593442917,19,8,1,0,F M S,Celta Vigo,2,2.0014010574668646,2.830774746835232,1.3462195172905922,La-Liga,2025-2026,13,2025-11-26 18:51:38
8696,Pape Alassane Gueye,12,718,2,1.317191330716014,1,0.9764644950628281,20,10,4,0,M S,Villarreal,2,1.317191330716014,6.437717696651816,4.667644158005714,La-Liga,2025-2026,13,2025-11-26 18:51:38
8765,Roberto Navarro,12,450,2,1.139326024800539,0,0.7015889994800091,7,10,1,0,M S,Athletic Club,2,1.139326024800539,1.412945196032524,0.7275048866868019,La-Liga,2025-2026,13,2025-11-26 18:51:38
8935,Pedri,10,857,2,1.124854987487197,1,2.618949458003044,12,25,0,1,M,Barcelona,2,1.124854987487197,10.036441527307034,7.727477572858334,La-Liga,2025-2026,13,2025-11-26 18:51:38
9211,Nico Williams,9,591,2,2.1618805527687073,1,1.5494087487459183,15,10,0,0,M S,Athletic Club,1,1.4186028838157654,3.619686793535948,1.1786417998373508,La-Liga,2025-2026,13,2025-11-26 18:51:38
9694,Diego López,13,985,2,1.8949292013421655,0,0.9272864256054163,14,6,2,0,F M S,Valencia,2,1.8949292013421655,3.415724255144596,0.676764864474535,La-Liga,2025-2026,13,2025-11-26 18:51:38
9796,Giuliano Simeone,12,921,2,3.113527324050665,4,2.5688507556915283,17,12,1,0,F M S,Atletico Madrid,2,3.113527324050665,8.47552838921547,3.542186450213194,La-Liga,2025-2026,13,2025-11-26 18:51:38
10974,Samú Costa,11,771,2,0.48920289520174265,0,0.6034318534657359,11,4,3,0,M S,Mallorca,2,0.48920289520174265,3.1483309362083673,2.2532237358391285,La-Liga,2025-2026,13,2025-11-26 18:51:38
11154,Pablo Durán,11,592,2,1.6761181335896254,0,0.037867382168769836,13,1,0,0,F M S,Celta Vigo,2,1.6761181335896254,1.9045685231685638,0.25124549958854914,La-Liga,2025-2026,13,2025-11-26 18:51:38
11186,Alvaro Rodríguez,11,555,2,2.8851565290242434,2,0.8711533732712269,17,9,0,0,F S,Elche,2,2.8851565290242434,3.484263814985752,0.7628812398761511,La-Liga,2025-2026,13,2025-11-26 18:51:38
11208,Mateo Joseph,12,751,2,3.6871082205325365,1,0.22898736502975225,21,6,0,0,F M S,Mallorca,2,3.6871082205325365,4.515782900154591,0.6491927830502391,La-Liga,2025-2026,13,2025-11-26 18:51:38
11264,Carlos Álvarez,13,861,2,0.9530514953657985,1,2.7702324241399765,13,15,2,0,M S,Levante,2,0.9530514953657985,4.957350146956742,2.578815020620823,La-Liga,2025-2026,13,2025-11-26 18:51:38
11349,Mario Martín,13,854,2,1.2144170850515366,0,0.15018122550100088,10,3,5,0,M S,Getafe,2,1.2144170850515366,1.027891170233488,0.5291972905397415,La-Liga,2025-2026,13,2025-11-26 18:51:38
11402,Carlos Romero,12,1062,2,1.386966435238719,2,1.5835354253649712,12,12,0,0,D,Espanyol,2,1.386966435238719,4.594589073210955,2.6462000384926796,La-Liga,2025-2026,13,2025-11-26 18:51:38
